NP,Time,Nfile,Nwords
1,54.271309,8,100051
2,14.453609,8,100051
3,13.109427,8,100051
4,8.514069,8,100051
5,6.795064,8,100051
6,5.384923,8,100051
7,4.985254,8,100051
8,4.563681,8,100051
1,54.289605,8,100051
2,14.441447,8,100051
3,13.115968,8,100051
4,8.499917,8,100051
5,6.421788,8,100051
6,5.693311,8,100051
7,4.915585,8,100051
8,4.561512,8,100051
1,54.261738,8,100051
2,14.448243,8,100051
3,13.295961,8,100051
4,9.791511,8,100051
5,6.418986,8,100051
6,5.380715,8,100051
7,4.857411,8,100051
8,4.579495,8,100051
1,54.314051,8,100051
2,14.453124,8,100051
3,13.100545,8,100051
4,8.550458,8,100051
5,6.427374,8,100051
6,5.388272,8,100051
7,4.869460,8,100051
8,4.592866,8,100051
1,54.283262,8,100051
2,14.452980,8,100051
3,13.309055,8,100051
4,8.514059,8,100051
5,6.440179,8,100051
6,5.454298,8,100051
7,4.874569,8,100051
8,4.591523,8,100051
1,54.306349,8,100051
2,14.452901,8,100051
3,13.301392,8,100051
4,8.502830,8,100051
5,6.420018,8,100051
6,5.405829,8,100051
7,4.881186,8,100051
8,4.600937,8,100051
